icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,departure_airport_icao,arrival_airport_icao,departure_airport_name,arrival_airport_name,departure_city,arrival_city,departure_lat,departure_lon,arrival_lat,arrival_lon,airline,route_confidence,route_distance_km,anomaly
3ff3f1,DMXMT,Germany,1753811174,1753811174,7.1539,52.7896,198.12,False,46.92,105.26,-0.33,,251.46,7000,False,0,EHAM,EDDF,Amsterdam Schiphol,Frankfurt Airport,Amsterdam,Frankfurt,52.3105,4.7683,50.0379,8.5622,Unknown,medium,490.8960156472752,0
4cad12,RYR21KK,Ireland,1753811174,1753811175,8.8027,50.2164,10668.0,False,249.7,133.0,0.33,,10965.18,1172,False,0,EGKK,LOWW,London Gatwick,Vienna Airport,London,Vienna,51.1481,-0.1903,48.1103,16.5697,Ryanair,high,1890.6719274209474,0
4070e2,EXS1JK,United Kingdom,1753811175,1753811175,9.4351,48.382,11277.6,False,245.82,127.52,0.0,,11620.5,2203,False,0,LSZH,EDDF,Zurich Airport,Frankfurt Airport,Zurich,Frankfurt,47.4647,8.5492,50.0379,8.5622,Unknown,medium,285.6288450490251,0
4070e1,EXS53RU,United Kingdom,1753811174,1753811175,13.9779,47.0166,10668.0,False,256.1,126.34,-0.33,,10949.94,7301,False,0,EDDM,LOWW,Munich Airport,Vienna Airport,Munich,Vienna,48.3538,11.7861,48.1103,16.5697,Unknown,medium,531.6670719805866,0
4cad4f,RYR97NA,Ireland,1753811175,1753811175,6.4191,48.8294,10972.8,False,230.7,2.56,0.0,,11315.7,5316,False,0,EIDW,LIMC,Dublin Airport,Milan Malpensa,Dublin,Milan,53.4213,-6.27,45.6306,8.7281,Ryanair,high,1875.9919835761827,0
4c01e5,ASL16F,Serbia,1753811174,1753811175,11.0625,48.2882,10355.58,False,210.53,307.65,0.0,,10660.38,3550,False,0,EDDM,LSZH,Munich Airport,Zurich Airport,Munich,Zurich,48.3538,11.7861,47.4647,8.5492,Unknown,medium,372.6033810834516,0
4c01e7,ASL89Q,Serbia,1753811175,1753811175,6.2269,47.3164,10668.0,False,209.49,284.07,0.0,,11041.38,1000,False,0,LSZH,LIMC,Zurich Airport,Milan Malpensa,Zurich,Milan,47.4647,8.5492,45.6306,8.7281,Unknown,medium,204.5512872959248,0
4cad57,ITY573,Ireland,1753811175,1753811175,8.52,47.1226,4411.98,False,178.45,174.04,11.38,,4572.0,1000,False,0,LSZH,LIMC,Zurich Airport,Milan Malpensa,Zurich,Milan,47.4647,8.5492,45.6306,8.7281,Unknown,medium,204.5512872959248,0
4d21a2,KMM538,Malta,1753811174,1753811175,14.8229,49.8138,2499.36,False,129.99,235.81,-2.93,,2606.04,6560,False,0,LOWW,EDDM,Vienna Airport,Munich Airport,Vienna,Munich,48.1103,16.5697,48.3538,11.7861,Unknown,medium,531.6670719805866,0
3c4594,BOX523,Germany,1753811175,1753811175,12.2607,51.4142,160.02,False,78.4,265.86,-3.9,,228.6,3223,False,0,EDDM,EDDF,Munich Airport,Frankfurt Airport,Munich,Frankfurt,48.3538,11.7861,50.0379,8.5622,Unknown,medium,403.7368321696943,0
