icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,departure_airport_icao,arrival_airport_icao,departure_airport_name,arrival_airport_name,departure_city,arrival_city,departure_lat,departure_lon,arrival_lat,arrival_lon,airline,route_confidence,route_distance_km,anomaly
48c2a5,RYR71VF,Poland,1753810463,1753810463,9.823,52.0776,11582.4,False,223.27,287.02,0.0,,11841.48,2017.0,False,0,EIDW,LEMD,Dublin Airport,Madrid Barajas,Dublin,Madrid,53.4213,-6.27,40.4983,-3.5676,Ryanair,high,1465.481235068522,0
48c2a2,RYR2LB,Poland,1753810463,1753810463,12.25,53.991,10668.0,False,240.44,84.23,0.0,,10828.02,1000.0,False,0,EIDW,EGGW,Dublin Airport,London Luton,Dublin,London,53.4213,-6.27,51.8747,-0.3683,Ryanair,high,677.2094849147124,0
49d006,EWG63T,Czech Republic,1753810463,1753810463,10.6859,48.3346,10363.2,False,212.46,311.56,0.0,,10668.0,3571.0,False,0,EDDM,LSZH,Munich Airport,Zurich Airport,Munich,Zurich,48.3538,11.7861,47.4647,8.5492,Unknown,medium,372.6033810834516,0
45ab4a,JTD354,Denmark,1753810463,1753810463,7.9056,52.1553,11277.6,False,241.03,42.58,0.0,,11529.06,2311.0,False,0,EDDF,EHAM,Frankfurt Airport,Amsterdam Schiphol,Frankfurt,Amsterdam,50.0379,8.5622,52.3105,4.7683,Unknown,medium,490.8960156472752,0
4b9e01,TKJ8FD,Turkey,1753810462,1753810462,13.9233,51.0641,10378.44,False,221.27,287.59,0.33,,10561.32,1000.0,False,0,EDDM,LOWW,Munich Airport,Vienna Airport,Munich,Vienna,48.3538,11.7861,48.1103,16.5697,Unknown,medium,531.6670719805866,0
801406,AIC2017,India,1753810463,1753810463,9.9133,51.4568,12184.38,False,240.52,277.99,0.0,,12489.18,3225.0,False,0,EDDF,EDDM,Frankfurt Airport,Munich Airport,Frankfurt,Munich,50.0379,8.5622,48.3538,11.7861,Unknown,medium,403.7368321696943,0
48c12b,RYR2NJ,Poland,1753810463,1753810463,5.6619,45.0754,9677.4,False,228.06,94.4,-5.53,,10081.26,2322.0,False,0,EGKK,EGKK,London Gatwick,London Gatwick,London,London,51.1481,-0.1903,51.1481,-0.1903,Ryanair,high,0.0,0
48c134,RYR50NH,Poland,1753810463,1753810463,7.0196,51.1941,11582.4,False,210.2,289.14,-0.33,,11879.58,3122.0,False,0,EGKK,LOWW,London Gatwick,Vienna Airport,London,Vienna,51.1481,-0.1903,48.1103,16.5697,Ryanair,high,1890.6719274209477,0
48c131,RYR40PF,Poland,1753810462,1753810462,9.6536,52.0783,11894.82,False,222.18,249.68,-4.23,,12169.14,1000.0,False,0,EGKK,EGGW,London Gatwick,London Luton,London,London,51.1481,-0.1903,51.8747,-0.3683,Ryanair,high,83.03746413974814,0
48c124,RYR67EY,Poland,1753810463,1753810463,11.1924,46.955,11582.4,False,213.19,314.22,0.0,,11948.16,605.0,False,0,EIDW,LFPG,Dublin Airport,Paris Charles de Gaulle,Dublin,Paris,53.4213,-6.27,49.0097,2.5479,Ryanair,high,1094.4486014452073,0
407c8a,DHK705,United Kingdom,1753810462,1753810462,10.4923,47.3562,10668.0,False,270.64,105.89,0.0,,11018.52,2254.0,False,0,EDDM,LSZH,Munich Airport,Zurich Airport,Munich,Zurich,48.3538,11.7861,47.4647,8.5492,Unknown,medium,372.6033810834516,0
3c4dd6,DLH4KH,Germany,1753810463,1753810463,11.8971,48.6815,4960.62,False,185.01,30.77,9.75,,5113.02,3604.0,False,0,EDDF,EGLL,Frankfurt Airport,London Heathrow,Frankfurt,London,50.0379,8.5622,51.47,-0.4543,Lufthansa,high,1013.377007117223,0
